seed: 4, epochs: 100, algorithm: FedOpt, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 50, batch_size: 64, learning_rate: 0.01, local_epochs: 5, model: lenet, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [0], num_workers: 0, record_time: False, num_adv: 24, attack: NoAttack, defense: SystemAware, attack_params: None, defense_params: {'alpha':2.5,'sim_threshold':0.5}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cpu, output: ./logs/FedOpt/MNIST_lenet/iid/MNIST_lenet_iid_NoAttack_SystemAware_100_50_0.01_FedOpt.txt

Started on Thu Sep 25 18:41:36 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 79 		Train Acc: 0.9694	Train loss: 0.0016	Test Acc: 0.9710	Test loss: 0.0014
Epoch 80 		Train Acc: 0.9687	Train loss: 0.0016	Test Acc: 0.9720	Test loss: 0.0013
Epoch 81 		Train Acc: 0.9701	Train loss: 0.0016	Test Acc: 0.9753	Test loss: 0.0012
Epoch 82 		Train Acc: 0.9693	Train loss: 0.0015	Test Acc: 0.9711	Test loss: 0.0014
Epoch 83 		Train Acc: 0.9707	Train loss: 0.0016	Test Acc: 0.9740	Test loss: 0.0013
Epoch 84 		Train Acc: 0.9705	Train loss: 0.0015	Test Acc: 0.9738	Test loss: 0.0012
Epoch 85 		Train Acc: 0.9697	Train loss: 0.0015	Test Acc: 0.9732	Test loss: 0.0012
Epoch 86 		Train Acc: 0.9694	Train loss: 0.0016	Test Acc: 0.9771	Test loss: 0.0011
Epoch 87 		Train Acc: 0.9723	Train loss: 0.0014	Test Acc: 0.9689	Test loss: 0.0016
Epoch 88 		Train Acc: 0.9681	Train loss: 0.0016	Test Acc: 0.9771	Test loss: 0.0011
Epoch 89 		Train Acc: 0.9722	Train loss: 0.0014	Test Acc: 0.9750	Test loss: 0.0012
Epoch 90 		Train Acc: 0.9708	Train loss: 0.0015	Test Acc: 0.9781	Test loss: 0.0011
Epoch 91 		Train Acc: 0.9746	Train loss: 0.0014	Test Acc: 0.9617	Test loss: 0.0018
Epoch 92 		Train Acc: 0.9665	Train loss: 0.0016	Test Acc: 0.9749	Test loss: 0.0012
Epoch 93 		Train Acc: 0.9684	Train loss: 0.0016	Test Acc: 0.9728	Test loss: 0.0012
Epoch 94 		Train Acc: 0.9716	Train loss: 0.0015	Test Acc: 0.9788	Test loss: 0.0010
Epoch 95 		Train Acc: 0.9747	Train loss: 0.0013	Test Acc: 0.9688	Test loss: 0.0015
Epoch 96 		Train Acc: 0.9701	Train loss: 0.0015	Test Acc: 0.9772	Test loss: 0.0010
Epoch 97 		Train Acc: 0.9719	Train loss: 0.0014	Test Acc: 0.9743	Test loss: 0.0012
Epoch 98 		Train Acc: 0.9725	Train loss: 0.0016	Test Acc: 0.9786	Test loss: 0.0010
Epoch 99 		Train Acc: 0.9774	Train loss: 0.0011	Test Acc: 0.9740	Test loss: 0.0013
Training finished on Thu Sep 25 18:54:15 2025 using 12 minutes and 38 seconds in total.
