round,test_acc,test_loss,asr,asr_loss,round_time,active_clients,stragglers,dropouts,communication_cost_kb,energy_consumption_mj,anomaly_score,reputation_score,rejection_ratio
34,0.929599999999907,0.23457119670507945,,,212.98821687698364,90,,,23948.390625,872.8640625,0.013450169680117224,0.9240999999999076,0.01254050052879189
35,0.9368999999999063,0.22183637670872378,,,205.8913779258728,90,,,22907.15625,802.8023437500001,0.02043769394159109,0.9268599999999074,0.01905544076969415
36,0.9217999999999078,0.2397531836628674,,,208.54435181617737,90,,,27592.7109375,1118.080078125,0.004802948716878419,0.9240999999999076,0.004478113091228244
37,0.939399999999906,0.20692812754509762,,,215.24050116539001,90,,,27245.6328125,1094.726171875,0.024528929717538284,0.9294999999999071,0.02286997587459484
38,0.9402999999999059,0.206139740031937,,,205.77000975608826,90,,,26551.4765625,1048.018359375,0.015705984898804065,0.9335999999999066,0.014643749232383901
39,0.928999999999907,0.22612014266250255,,,209.87530827522278,90,,,25857.3203125,1001.310546875,0.005964628540276851,0.9334799999999065,0.005561225556430091
40,0.9411999999999059,0.19990598676500704,,,215.8641219139099,90,,,24295.46875,896.21796875,0.01586344936847528,0.9343399999999065,0.014790563979866
41,0.9400999999999059,0.20071655657587428,,,206.13096022605896,90,,,23774.8515625,861.1871093750001,0.007245554140209415,0.9379999999999061,0.006755518903304611
42,0.930599999999907,0.21939462501404475,,,212.41939401626587,90,,,22733.6171875,791.125390625,0.008939214804171647,0.9362399999999063,0.00833463299310004
43,0.9355999999999064,0.2020749326288498,,,208.3915467262268,90,,,28286.8671875,1164.787890625,0.007567516100405902,0.9352999999999063,0.0070557057580521365
44,0.9424999999999057,0.19734294081924372,,,207.42341470718384,90,,,27419.171875,1106.403125,0.006544067541360193,0.9379999999999061,0.0061014756255597
45,0.939399999999906,0.20059460060594458,,,215.45627570152283,90,,,26551.4765625,1048.018359375,0.0034301305228468526,0.9376399999999062,0.003198142079885736
46,0.9398999999999059,0.2042283854961191,,,207.46483778953552,90,,,24989.625,942.92578125,0.0004987114167212814,0.9375999999999062,0.000464982296420611
47,0.9445999999999055,0.18911563984153762,,,209.97523093223572,90,,,25336.703125,966.2796875,0.009555660036801333,0.9403999999999059,0.008909386468306493
48,0.9445999999999055,0.18576893802432348,,,216.78042030334473,90,,,23601.3125,849.51015625,0.009641162933110209,0.9421999999999058,0.008989106586481636
49,0.9379999999999061,0.20106824211774246,,,206.32878875732422,90,,,22560.078125,779.4484375,0.004913080900609018,0.9412999999999059,0.004580796755535633
50,0.929599999999907,0.21879462718961434,,,216.81043195724487,90,,,28981.0234375,1211.495703125,0.018999460655746953,0.939339999999906,0.01771447885541313
51,0.9237999999999076,0.23969459832904325,,,210.40240693092346,90,,,27766.25,1129.75703125,0.03280618922859102,0.9361199999999064,0.0305874232930277
52,0.9241999999999075,0.23361900608835268,,,207.31094694137573,90,,,28286.8671875,1164.787890625,0.017829923738537423,0.9320399999999068,0.01662404069161891
53,0.9179999999999081,0.2358534960269692,,,212.6458466053009,90,,,25336.703125,966.2796875,0.010047502076624831,0.9267199999999072,0.00936796398124348
54,0.9330999999999067,0.20956622874138642,,,206.84374737739563,90,,,25857.3203125,1001.310546875,0.017939362533686776,0.9257399999999073,0.01672607786297665
55,0.9356999999999064,0.20206321800945168,,,207.73036646842957,90,,,24642.546875,919.5718750000001,0.022096091429588988,0.9269599999999073,0.020601676621716764
56,0.9372999999999062,0.19887179891465104,,,214.59160256385803,90,,,24295.46875,896.21796875,0.017122950641511175,0.9296599999999071,0.01596488198150946
57,0.9406999999999058,0.19298904946742512,,,206.17652344703674,90,,,23601.3125,849.51015625,0.01487970876455158,0.9329599999999066,0.013873356252595776
58,0.9344999999999065,0.20380422800777304,,,214.51924633979797,90,,,22039.4609375,744.4175781250001,0.0023453233796355555,0.9362599999999063,0.002186703200182329
59,0.9450999999999055,0.1825828941598352,,,211.96859312057495,90,,,29154.5625,1223.17265625,0.01347934355199204,0.938659999999906,0.01256770129758322
